"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HNRNPA3",4.3552306997852e-25,0.27406683711112,0.796,0.627,1.77453874862748e-20
"CYP2R1",4.39191549367317e-25,-0.280805589863492,0.139,0.313,1.78948596789713e-20
"ITGA4",4.41210701067813e-25,-0.323258913071871,0.004,0.126,1.79771300150081e-20
"ABCA9",4.56208425155709e-25,-0.466303299525578,0.287,0.463,1.85882122829694e-20
"ZFY",5.14549140726448e-25,0.374602256422782,0.58,0.415,2.09653047388991e-20
"SUSD5",5.46398392054687e-25,-0.286226034108959,0.042,0.186,2.22630024842682e-20
"RPL28",5.52529160259267e-25,-0.392215305796032,0.528,0.667,2.25128006347638e-20
"GRIN2A",5.59680983611525e-25,-0.94196311155815,0.85,0.853,2.28042016772516e-20
"LINC00506",5.73683205304621e-25,0.2994453437422,0.593,0.419,2.33747222001368e-20
"MDN1",5.75395377272652e-25,0.331117645821698,0.859,0.761,2.34444846469742e-20
"NLGN4X",5.93680001030828e-25,-0.683461072107734,0.679,0.824,2.41894916420011e-20
"PCMT1",6.08928282514916e-25,-0.462588382197323,0.625,0.744,2.48107828710703e-20
